objectid_1,objectid,acreage,sqft,final_cat,type_,sector,origpkname,updatepknm,alterntnam,divname,shape_leng,globalid,created_user,created_date,last_edited_user,last_edited_date,maintenanceresponsibility,dpw_ac,GlobalID_2,Shape__Area,Shape__Length
115,199,1.25678367,54745.27782004,Beautification Site,BTF,14,Zulema Passive Area,Zulema Park,Zulema Passive Area,Schenley,816.84075011,9b0e7c16-0d06-44a7-96ba-f616bd7d0fdb,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,0.727245400846541,3c660ca0-a4cb-4fdd-917f-016a8c7a3f78,5086.03515625,327.087778127073
116,70,5.93328236,258452.7456781,Neighborhood Park,NP,14,Frazier Playground,Frazier Park,Frazier Park,Schenley,1740.35286534,f31f2520-2ab6-4e6b-8999-82166ba2e957,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,3.43397554271669,a746d7d5-55d1-49fc-a3dd-b27d7801d4e2,24011.140625,697.167723127067
117,2,0.65945934,28725.933766,Neighborhood Park,NP,15,"Albert ""Turk"" Graham Parklet",Albert Turk Graham Park,"Albert ""Turk"" Graham Park",Schenley,542.40437763,98c0046f-47d7-455c-b39d-5183317e15d8,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,0.381545410622112,f179e4a5-a3b5-4784-85da-515ff4b93975,2668.73828125,217.410276883691
118,36,2.6870654,117048.10053489,Neighborhood Park,NP,15,Cliffside Parklet,August Wilson Park,Cliffside Park,Schenley,1313.83264367,764d9a2f-719c-49c2-b747-8f276149bf04,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,2.68706539781216,759fb339-0eb9-45c8-bf3e-038a1852c57a,10874.17578125,550.385413328627
119,48,11.28972933,491778.64249995,Neighborhood Park,NP,7,Devlin Field,Devlin Field Park,Devlin Field,Southern,2721.8691953,dd1c0a48-cb15-4324-acd9-3a88008cf1ed,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,6.53711777135626,45dad722-ead7-4ba0-9370-753cf7bd1567,45687.9140625,1090.50470590713
120,74,5.53723451,241200.97040906,Neighborhood Park,NP,12,Garland Parklet,Garland Park,Garland Park,Northeast,1899.44181991,57d9a24b-1e2e-45c4-b7b0-8ca0b4afb9de,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,3.20147600835363,c7a19689-4ce7-4913-af7c-3188ce658c9f,22408.390625,761.726274699429
121,60,4.03795437,175892.58867601,Neighborhood Park,NP,12,Enright Parklet,Enright Park,Enright Park,Northeast,1394.57267633,37c10cb4-aa70-4cac-9887-6221b5664713,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northeast,2.33477639616619,737e5bb2-c57f-49d1-a0ed-299d9b5b4008,16341.02734375,559.156461075227
122,59,1.0670828,46481.9406795,Neighborhood Park,NP,7,Eleanor St Parklet,Eleanor Street Park,Eleanor Street Park,Southern,649.21057742,601181be-4c7c-482e-b656-cfa5d7602552,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Southern,0.617733852509225,a9204de1-be87-4920-9332-962df35e232c,4318.3359375,260.059273998336
123,21,1.39103604,60593.28740701,Regional Park,RP,6,Bigbee Field,Emerald View Park - Bigbee Field Park,Emerald View Regional Park,Southern,908.29036986,5dbd0956-a4df-4f5a-b85d-0b5928ef258e,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Western,0.805118062939112,ecfddcb6-9512-48f7-9b70-db304fe13376,5629.3125,363.487577395988
124,140,0.98375374,42852.14153332,Beautification Site,BTF,14,Oakland Square,Oakland Square,Oakland Square,Schenley,878.14842866,e2748b8b-a3d3-4195-9c81-58b9b2062c7c,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,3rd Division,0.569232067264089,a8f6a5bc-e68a-4be2-9b89-9cbc94189182,3981.10546875,351.465195838847
125,123,2.79371439,121693.71217285,Neighborhood Park,NP,3,McKnight Playground,McKnight Park,McKnight Park,Northern,1279.69245254,715318ec-dbf0-4148-a625-0277f6755aab,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,1.61581893283632,7b4abe14-2e3a-42cc-b597-ef2804289d2f,11305.765625,512.362476775626
126,197,0.47690515,20773.90523202,Neighborhood Park,NP,2,Woods Run Tot Lot,Woods Run Park,Woods Run Park,Northern,450.35200929,9b77f597-274e-44fa-8814-54660d31e924,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,0.275632387846405,fe10c9dc-c07d-47b0-a099-975a96ef5b00,1929.96875,180.483600378608
127,25,0.79081522,34447.77302359,Neighborhood Park,NP,14,Boundary St Tot Lot,Boundary Street Park,Boundary St. Park,Schenley,604.75253842,d6781a89-d8c3-4c74-b126-ce95efd574ed,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Schenley,0.457571177561822,81301342-2526-46db-8b64-25547e579001,3200.3125,242.217935242989
128,5,2.04749695,89188.61037288,Riverfront Park,RVR,16,Allegheny Riverfront Park,Allegheny Riverfront Park,Allegheny Riverfront Park,State,3789.70684425,56eb2a1a-f465-4488-8ee7-2939c1a56513,pgh.admin,2020/11/10 16:12:06.343+00,pgh.admin,2020/11/10 16:12:06.343+00,Parks - Northern,1.18447938405569,eecc5a04-8eb7-4448-af0f-84f4ab2ec77c,8285.91796875,1516.45933450746
